name,address,website,phone,source_url,sector,employees_estimate,business_type,cnpj,capital_social,socios
GoodStorage - Unidade Alphaville,,,,https://www.google.com/maps/place/GoodStorage+-+Unidade+Alphaville/data=!4m7!3m6!1s0x94cf034d88dbd3dd:0x463d837b42d0ef98!8m2!3d-23.498958!4d-46.85458!16s%2Fg%2F11sk1dtvsd!19sChIJ3dPbiE0Dz5QRmO_QQnuDPUY?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
GALPÕES INDUSTRIAIS,,,,https://www.google.com/maps/place/GALP%C3%95ES+INDUSTRIAIS/data=!4m7!3m6!1s0x94ce61cf17def4a5:0xbd40a9ecad9f91a2!8m2!3d-23.4665904!4d-46.4662153!16s%2Fg%2F11f5hlz2q_!19sChIJpfTeF89hzpQRopGfreypQL0?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Galpão industrial na barra funda,,,,https://www.google.com/maps/place/Galp%C3%A3o+industrial+na+barra+funda/data=!4m7!3m6!1s0x94ce57ffdda1ac07:0x2a42f9f064e53ec6!8m2!3d-23.5234046!4d-46.6718248!16s%2Fg%2F11c2nny02_!19sChIJB6yh3f9XzpQRxj7lZPD5Qio?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Galpão,,,,https://www.google.com/maps/place/Galp%C3%A3o/data=!4m7!3m6!1s0x94ce59510f4ec263:0x98b30c11d960b558!8m2!3d-23.5676639!4d-46.6000687!16s%2Fg%2F1tf_pf6p!19sChIJY8JOD1FZzpQRWLVg2REMs5g?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Vila dos Galpões,,,,https://www.google.com/maps/place/Vila+dos+Galp%C3%B5es/data=!4m7!3m6!1s0x94ce591d1a3d44b1:0x4888cdc0b990e484!8m2!3d-23.5544187!4d-46.6114488!16s%2Fg%2F11fktrfv1v!19sChIJsUQ9Gh1ZzpQRhOSQucDNiEg?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
"Click Galpões Locação, Venda, Administração de Galpões Industriais e Logísticos",,,,"https://www.google.com/maps/place/Click+Galp%C3%B5es+Loca%C3%A7%C3%A3o,+Venda,+Administra%C3%A7%C3%A3o+de+Galp%C3%B5es+Industriais+e+Log%C3%ADsticos/data=!4m7!3m6!1s0x94ce594ab22a7eaf:0x6209dc88195e3071!8m2!3d-23.6016084!4d-46.6984829!16s%2Fg%2F11v02y20bt!19sChIJr34qskpZzpQRcTBeGYjcCWI?authuser=0&hl=pt-BR&rclk=1",,,,,,[]
BRASIL SELECT GALPÃO INDUSTRIAL E LOGISTICO,,,,https://www.google.com/maps/place/BRASIL+SELECT+GALP%C3%83O+INDUSTRIAL+E+LOGISTICO/data=!4m7!3m6!1s0x94ce57501d639189:0xe4119f31c882aee!8m2!3d-23.5932958!4d-46.6801758!16s%2Fg%2F11krhp5zvs!19sChIJiZFjHVBXzpQR7iqIHPMZQQ4?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
